date,ticker,accuracy,close,0_2,0_3,,,,,,,,,,,,
2017/8/22,600570,0.6,49.68,0.1328125,0.453125,2017/8/23,600570,0.65,48.48,0.2421875,0.625,2017/8/24,600570,0.65,47,0.484375,0.390625
2017/8/22,2460,0.5,70.49,0.234375,0.5546875,2017/8/22,2460,0.45,70.49,0.1640625,0.6171875,2017/8/24,2460,0.5,70.14,0.09375,0.5390625
2017/8/22,600362,0.75,18.66,0.0859375,0.4375,2017/8/23,600362,0.7,17.97,0.234375,0.4609375,2017/8/24,600362,0.7,17.97,0.296875,0.5546875
2017/8/22,60,0.7,12.71,0.1953125,0.5625,2017/8/23,60,0.7,12.25,0.1484375,0.5703125,2017/8/24,60,0.75,12.07,0.1015625,0.7421875
2017/8/22,558,0.9,6.9,0.3203125,0.6015625,2017/8/23,558,0.85,6.87,0.0390625,0.75,2017/8/24,558,0.8,6.74,0.3203125,0.546875
2017/8/22,561,0.6,10.19,0.0703125,0.6015625,2017/8/23,561,0.65,10.16,0.28125,0.6171875,2017/8/24,561,0.6,10.15,0.0625,0.7421875
2017/8/22,2167,0.7,12.75,0.2421875,0.40625,2017/8/23,2167,0.6,12.21,0.2734375,0.2890625,2017/8/24,2167,0.55,11.93,0.21875,0.6875
2017/8/22,983,0.8,10.34,0.109375,0.3203125,2017/8/23,983,0.8,10,0.0859375,0.7421875,2017/8/24,983,0.8,9.91,0.0859375,0.6953125
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,600570,0.1328125,0.2421875,0.484375,,,,,,,,,,,,,
,2460,0.234375,0.1640625,0.09375,,,,,,,,,,,,,
,600362,0.0859375,0.234375,0.296875,,,,,,,,,,,,,
,60,0.1953125,0.1484375,0.1015625,,,,,,,,,,,,,
,558,0.3203125,0.0390625,0.3203125,,,,,,,,,,,,,
,561,0.0703125,0.28125,0.0625,,,,,,,,,,,,,
,2167,0.2421875,0.2734375,0.21875,,,,,,,,,,,,,
,983,0.109375,0.0859375,0.0859375,,,,,,,,,,,,,
,600570,0.453125,0.625,0.390625,,,,,,,,,,,,,
,2460,0.5546875,0.6171875,0.5390625,,,,,,,,,,,,,
,600362,0.4375,0.4609375,0.5546875,,,,,,,,,,,,,
,60,0.5625,0.5703125,0.7421875,,,,,,,,,,,,,
,558,0.6015625,0.75,0.546875,,,,,,,,,,,,,
,561,0.6015625,0.6171875,0.7421875,,,,,,,,,,,,,
,2167,0.40625,0.2890625,0.6875,,,,,,,,,,,,,
,983,0.3203125,0.7421875,0.6953125,,,,,,,,,,,,,